;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_RESET_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
WINC,0x8259,0x87ff,1,33,10
WIORI,0x86a9,0xe7ff,3,21,10
WLDAI,0xc689,0xe7ff,3,21,10
WLMP,0xa7f9,0xffff,1,29,8
WLSH,0x8559,0x87ff,1,33,10
WLSHI,0xe6d9,0xe7ff,2,18,10
WLSI,0x85b9,0x87ff,1,2,10
WMOV,0x8379,0x87ff,1,33,10
WMOVR,0xe699,0xe7ff,1,28,10
WNADI,0xE6F9,0xE7FF,2,18,10
WNEG,0x8269,0x87ff,1,33,10
WPOPJ,0x8789,0xFFFF,1,29,9
WRTN,0x87a9,0xffff,1,29,9
WSAVR,0xA729,0xFFFF,2,30,12
WSAVS,0xA739,0xFFFF,2,30,12
WSBI,0x8589,0x87ff,1,2,10
WSEQ,0x80b9,0x87ff,1,33,9
WSEQI,0xe6c9,0xe7ff,2,18,9
WSGE,0x8199,0x87ff,1,33,9
WSGT,0x81b9,0x87ff,1,33,9
WSGTI,0xe689,0xe7ff,2,18,9
WSKBO,0x8f49,0x8fcf,1,35,9
WSKBZ,0x8f89,0x8fcf,1,35,9
WSLE,0x81a9,0x87ff,1,33,9
WSLEI,0xe6a9,0xe7ff,2,18,9
WSLT,0x8289,0x87ff,1,33,9
WSNE,0x8189,0x87ff,1,33,9
WSNEI,0xe6e9,0xe7ff,2,18,9
WSTB,0x8539,0x87ff,1,33,11
WSUB,0x8159,0x87ff,1,33,10
XCALL,0x8609,0xe7ff,3,12,9
XCH,0x81c8,0x87ff,1,33,5
XJMP,0xc609,0xe7ff,2,10,9
XJSR,0xc619,0xe7ff,2,10,9
XLDB,0x8419,0x87ff,2,23,11
XLEF,0x8409,0x87ff,2,26,11
XLEFB,0x8439,0x87ff,2,23,11
XNADD,0x8018,0x87ff,2,26,11
XNADI,0x8418,0x87ff,2,1,11
XNDO,0x8498,0x87ff,3,32,11
XNDSZ,0xa609,0xe7ff,2,10,9
XNISZ,0x8639,0xe7ff,2,10,9
XNLDA,0x8329,0x87ff,2,26,11
XNSBI,0x8458,0x87ff,2,1,11
XNSTA,0x8339,0x87ff,2,26,11
XNSUB,0x8058,0x87ff,2,1,11
XPEF,0x8629,0xe7ff,2,10,11
XSTB,0x8429,0x87ff,2,23,11
XWADD,0x8118,0x87ff,2,26,11
XWADI,0x8518,0x87ff,2,1,11
XWDSZ,0xA639,0xE7FF,2,10,9
XWLDA,0x8309,0x87ff,2,26,11
XWSBI,0x8558,0x87ff,2,1,10
XWSTA,0x8319,0x87ff,2,26,11
XWSUB,0x8158,0x87ff,2,26,10
ZEX,0x8359,0x87ff,1,33,10
;
